user_id,trip_frequency,avg_booking_value,destination_diversity,session_duration_min,search_count,advance_booking_days,cancellation_rate,loyalty_points,mobile_usage_pct,avg_trip_duration_days,repeat_destination_rate,account_age_days
VYG00001,10.8,2774.34,21.0,26.5,62,14.0,0.117,1658.0,0.627,3.0,0.071,369.0
VYG00002,9.1,7686.95,9.0,31.4,76,5.0,0.158,1017.0,0.709,9.0,,1240.0
VYG00003,7.4,4595.71,20.0,30.4,44,14.0,0.25,938.0,0.678,7.0,0.191,987.0
VYG00004,7.5,3543.56,17.0,27.6,44,,0.403,652.0,0.714,3.0,0.064,589.0
VYG00005,9.4,2930.38,14.0,19.8,67,16.0,0.282,1804.0,0.739,4.0,0.161,674.0
VYG00006,9.9,1522.85,16.0,46.0,42,11.0,0.17,848.0,0.628,11.0,0.051,853.0
VYG00007,3.1,8562.59,22.0,17.3,43,15.0,0.053,1688.0,0.824,10.0,0.482,1172.0
VYG00008,5.4,2602.33,18.0,20.8,46,3.0,0.287,1365.0,0.854,8.0,0.448,863.0
VYG00009,8.6,2840.3,19.0,13.7,37,14.0,0.228,1566.0,0.899,13.0,0.226,514.0
VYG00010,8.0,7669.65,22.0,23.0,49,16.0,0.256,,0.575,9.0,0.207,61.0
VYG00011,9.7,4960.79,16.0,12.6,39,7.0,0.199,1890.0,0.577,9.0,0.103,864.0
VYG00012,10.7,4393.64,16.0,,50,16.0,0.248,915.0,0.719,7.0,,599.0
VYG00013,5.1,1744.1,13.0,30.8,90,19.0,0.454,1702.0,0.791,6.0,0.226,787.0
VYG00014,7.3,4102.93,8.0,25.4,60,22.0,0.095,589.0,0.818,6.0,0.394,174.0
VYG00015,9.9,2537.41,24.0,24.0,65,18.0,0.215,1619.0,0.85,4.0,0.063,714.0
VYG00016,9.4,9294.35,18.0,20.6,73,6.0,0.448,2136.0,0.84,7.0,0.5,205.0
VYG00017,7.0,3705.69,18.0,30.8,52,4.0,0.113,696.0,0.661,9.0,0.069,895.0
VYG00018,7.4,5093.08,19.0,27.2,65,3.0,0.193,1657.0,0.886,15.0,0.301,428.0
VYG00019,9.5,3582.74,18.0,25.7,81,16.0,0.084,1186.0,0.622,11.0,0.11,445.0
VYG00020,6.4,6459.14,20.0,23.4,84,4.0,0.474,1624.0,0.624,8.0,0.5,915.0
VYG00021,8.2,3924.28,20.0,32.6,52,1.0,0.485,788.0,0.848,5.0,0.245,436.0
VYG00022,10.3,1977.43,18.0,,66,6.0,0.505,602.0,0.668,8.0,0.074,604.0
VYG00023,5.1,1258.57,18.0,36.4,58,12.0,0.039,1356.0,0.95,10.0,,648.0
VYG00024,5.1,3739.76,17.0,25.0,48,1.0,0.075,1397.0,0.691,7.0,0.143,449.0
VYG00025,9.6,2373.74,16.0,17.7,63,20.0,0.115,637.0,0.745,4.0,0.094,795.0
VYG00026,6.2,8779.69,16.0,36.9,66,13.0,0.25,1510.0,0.88,12.0,0.037,859.0
VYG00027,7.1,5702.19,15.0,29.1,91,19.0,0.25,1003.0,0.937,11.0,0.066,1112.0
VYG00028,5.0,3776.76,16.0,28.6,52,20.0,0.224,1123.0,0.689,8.0,0.028,832.0
VYG00029,7.2,5789.62,24.0,27.3,55,9.0,0.128,1167.0,0.771,9.0,0.312,803.0
VYG00030,9.0,2603.14,19.0,18.0,59,13.0,0.239,2118.0,0.849,13.0,0.461,339.0
VYG00031,9.0,995.73,16.0,34.1,71,13.0,0.068,890.0,1.0,6.0,0.085,615.0
VYG00032,9.2,2603.32,21.0,21.9,47,7.0,0.6,1362.0,0.772,8.0,0.378,475.0
VYG00033,5.2,4048.35,20.0,8.6,60,21.0,0.388,1064.0,0.774,7.0,0.185,547.0
VYG00034,,1494.15,18.0,20.7,53,20.0,0.353,6.0,0.883,10.0,0.235,931.0
VYG00035,6.6,3325.3,18.0,22.4,48,10.0,0.488,1650.0,0.619,11.0,0.246,770.0
VYG00036,7.6,4776.53,26.0,34.6,87,7.0,0.184,1565.0,0.544,9.0,0.5,
VYG00037,9.9,2033.78,28.0,20.3,61,3.0,0.375,1985.0,0.726,8.0,0.324,526.0
VYG00038,8.4,3739.08,18.0,19.3,64,14.0,0.557,1001.0,0.794,8.0,0.151,461.0
VYG00039,7.6,4780.9,17.0,31.6,61,9.0,0.132,1285.0,0.747,7.0,0.058,203.0
VYG00040,8.1,3189.39,20.0,40.4,91,1.0,0.222,1391.0,0.941,11.0,0.099,356.0
VYG00041,,,14.0,32.1,63,19.0,0.092,1468.0,0.573,13.0,0.5,798.0
VYG00042,7.8,2283.11,19.0,30.4,--,19.0,0.306,1503.0,0.771,,0.026,818.0
VYG00043,8.9,3981.83,24.0,28.6,68,15.0,0.424,1327.0,0.569,8.0,0.178,451.0
VYG00044,7.1,3277.3,24.0,23.1,84,20.0,0.551,2045.0,0.756,10.0,0.199,798.0
VYG00045,7.9,4094.65,16.0,26.3,61,10.0,0.369,659.0,0.784,7.0,0.232,903.0
VYG00046,7.2,2955.09,22.0,41.3,72,1.0,0.35,987.0,0.885,15.0,0.371,452.0
VYG00047,9.3,5117.33,18.0,32.8,75,13.0,0.263,712.0,0.572,8.0,0.213,124.0
VYG00048,7.9,4896.05,17.0,28.0,38,5.0,0.326,630.0,0.681,12.0,0.344,1029.0
VYG00049,5.4,1830.97,10.0,18.8,65,7.0,0.362,1127.0,0.66,7.0,0.21,434.0
VYG00050,5.9,2361.29,16.0,25.6,61,1.0,0.261,998.0,0.865,4.0,0.064,761.0
VYG00051,7.1,2157.91,19.0,28.2,89,6.0,0.143,1219.0,0.906,16.0,0.212,220.0
VYG00052,8.1,3861.92,16.0,35.1,25,12.0,0.099,1690.0,NA,14.0,0.082,391.0
VYG00053,11.1,4087.78,17.0,31.3,95,9.0,0.205,1001.0,0.818,3.0,0.242,843.0
VYG00054,8.8,5694.19,24.0,26.9,64,11.0,0.201,1396.0,0.822,4.0,0.27,854.0
VYG00055,6.8,5559.98,25.0,28.5,62,12.0,0.292,1446.0,0.554,14.0,0.318,662.0
VYG00056,9.5,4553.03,14.0,35.1,20,19.0,0.317,1218.0,0.806,7.0,0.15,
VYG00057,10.0,4003.32,14.0,27.0,30,16.0,0.147,659.0,0.669,12.0,0.204,1080.0
VYG00058,7.8,4246.03,14.0,20.8,43,20.0,0.06,1223.0,0.828,12.0,0.191,263.0
VYG00059,9.6,6271.24,16.0,10.4,46,1.0,0.139,1584.0,0.933,10.0,0.5,914.0
VYG00060,5.7,1944.69,14.0,32.6,83,3.0,0.3,1442.0,0.63,8.0,0.482,707.0
VYG00061,11.0,2708.37,11.0,30.5,48,21.0,0.335,1149.0,0.921,7.0,0.326,938.0
VYG00062,6.4,1845.37,8.0,29.6,64,6.0,0.254,997.0,0.655,5.0,0.251,530.0
VYG00063,8.3,13925.38,13.0,20.9,60,4.0,0.356,1129.0,0.806,3.0,0.041,534.0
VYG00064,5.1,4231.9,20.0,35.3,40,4.0,0.209,1264.0,0.846,14.0,0.162,704.0
VYG00065,8.6,2731.42,,13.7,35,10.0,0.49,942.0,0.522,11.0,0.16,1128.0
VYG00066,9.0,1529.74,27.0,28.5,67,17.0,0.115,962.0,1.0,11.0,0.272,473.0
VYG00067,3.5,2045.67,18.0,25.7,62,1.0,0.232,1216.0,0.911,10.0,0.289,734.0
VYG00068,7.8,2838.92,17.0,30.0,44,18.0,0.164,1163.0,0.693,9.0,0.114,1165.0
VYG00069,6.8,6611.62,19.0,25.2,71,5.0,0.337,1035.0,0.726,7.0,0.086,803.0
VYG00070,,6914.44,12.0,28.2,53,20.0,0.525,1572.0,0.807,8.0,0.267,624.0
VYG00071,5.0,6198.34,20.0,21.2,70,1.0,0.475,777.0,0.832,9.0,0.043,516.0
VYG00072,11.3,3273.53,21.0,,55,16.0,0.189,1689.0,0.62,10.0,0.28,159.0
VYG00073,7.5,2231.54,18.0,18.6,66,19.0,0.376,1394.0,0.863,7.0,0.035,665.0
VYG00074,,7823.62,17.0,25.4,48,13.0,0.154,944.0,0.919,5.0,0.25,375.0
VYG00075,6.2,4701.28,21.0,22.7,75,19.0,0.6,1203.0,0.82,,0.151,1004.0
VYG00076,9.6,3489.54,18.0,31.3,54,23.0,0.156,916.0,0.822,5.0,0.5,325.0
VYG00077,10.7,3017.03,16.0,35.1,65,11.0,0.247,736.0,0.81,10.0,0.352,372.0
VYG00078,5.5,5267.08,20.0,12.7,56,9.0,0.348,1275.0,0.803,11.0,0.222,721.0
VYG00079,6.9,2442.45,22.0,20.7,55,8.0,0.47,2277.0,0.76,5.0,0.181,671.0
VYG00080,9.5,2548.35,17.0,13.3,77,16.0,0.292,1132.0,0.954,11.0,0.076,119.0
VYG00081,8.7,2938.64,17.0,19.1,49,10.0,0.473,1285.0,0.769,6.0,0.274,408.0
VYG00082,6.4,6915.37,15.0,20.1,64,4.0,0.236,1336.0,0.945,9.0,0.415,821.0
VYG00083,,3563.25,16.0,39.6,52,18.0,0.12,152.0,0.892,11.0,0.119,633.0
VYG00084,9.6,4924.57,19.0,26.6,72,4.0,0.484,1451.0,0.895,5.0,0.147,608.0
VYG00085,6.2,7414.25,12.0,20.3,82,8.0,0.157,1035.0,0.61,6.0,0.193,332.0
VYG00086,8.8,2735.28,17.0,14.6,54,15.0,0.238,1098.0,0.76,10.0,0.058,564.0
VYG00087,9.7,2331.48,14.0,40.7,80,24.0,0.107,868.0,0.656,7.0,0.149,1021.0
VYG00088,8.0,1716.92,18.0,30.3,44,11.0,0.182,1154.0,0.776,7.0,0.489,359.0
VYG00089,6.7,1788.23,24.0,25.2,45,4.0,0.078,1750.0,0.675,12.0,0.264,198.0
VYG00090,8.9,5544.28,19.0,26.6,61,16.0,0.446,1549.0,0.917,6.0,0.173,730.0
VYG00091,7.0,4347.19,21.0,30.6,65,12.0,0.495,1230.0,0.64,6.0,0.124,526.0
VYG00092,12.1,7228.36,17.0,32.7,68,9.0,0.442,597.0,0.747,8.0,0.143,696.0
VYG00093,6.0,2667.48,11.0,42.8,51,10.0,0.547,1329.0,0.722,3.0,,382.0
VYG00094,8.4,1754.4,20.0,17.8,52,9.0,0.275,999.0,0.8,9.0,0.029,547.0
VYG00095,10.3,2224.88,12.0,,85,19.0,0.214,919.0,0.842,8.0,0.242,515.0
VYG00096,7.0,5115.59,21.0,34.3,65,10.0,-0.24,1829.0,0.801,3.0,0.373,655.0
VYG00097,5.6,2567.29,14.0,9.9,63,17.0,0.474,,0.633,12.0,0.088,72.0
VYG00098,5.8,2448.66,13.0,22.2,42,6.0,0.154,923.0,0.812,11.0,0.182,986.0
VYG00099,6.3,2139.54,17.0,35.0,33,16.0,0.057,1638.0,0.729,6.0,0.035,755.0
VYG00100,6.8,4099.0,14.0,30.7,33,17.0,0.142,1093.0,0.869,3.0,0.05,911.0
VYG00101,8.0,4990.88,18.0,22.1,45,17.0,0.464,1361.0,0.606,7.0,0.415,1030.0
VYG00102 ,8.0,3467.48,20.0,40.1,52,10.0,0.52,1173.0,0.606,8.0,0.5,885.0
VYG00103,9.0,1916.33,23.0,34.3,56,16.0,0.259,1501.0,0.546,13.0,0.04,666.0
VYG00104,8.6,2112.66,16.0,20.2,55,15.0,0.332,1160.0,0.763,8.0,0.321,485.0
VYG00105,4.9,6126.7,15.0,17.4,64,5.0,-0.179,937.0,0.838,10.0,0.243,420.0
VYG00106,9.8,4014.09,19.0,34.4,86,17.0,0.533,1010.0,0.69,7.0,0.241,706.0
VYG00107,6.5,2889.41,14.0,26.8,62,10.0,0.354,991.0,0.797,8.0,,574.0
VYG00108,4.9,1957.38,18.0,29.2,36,2.0,0.257,1794.0,0.933,7.0,0.439,658.0
VYG00109,8.5,3775.82,17.0,31.8,87,1.0,0.455,1036.0,0.476,12.0,,320.0
VYG00110,7.5,7328.24,20.0,35.5,57,5.0,0.526,1487.0,0.85,11.0,0.08,1018.0
